,id,b_1,b_2,m,v_1,v_2,t
0,0,8.11654855095191,2.5620723019250233,10.0,0.0,0.0,0.0
1,1,12.41515821292946,2.1515192084242,10.0,0.0,0.0,0.0
2,2,4.893257656434021,5.911690576473127,10.0,0.0,0.0,0.0
3,3,10.127197309564846,12.813711745898177,10.0,0.0,0.0,0.0
4,4,15.342294492739292,11.967976456751076,10.0,0.0,0.0,0.0
5,5,9.77686250923538,5.8008793264389675,10.0,0.0,0.0,0.0
6,6,7.643287575297661,8.471140297356714,10.0,0.0,0.0,0.0
7,7,12.388712693966255,12.233470515500258,10.0,0.0,0.0,0.0
8,8,13.848097124295112,14.058580002584353,10.0,0.0,0.0,0.0
9,9,9.463689898869388,10.046479397338082,10.0,0.0,0.0,0.0
10,10,13.836080348658404,18.534724895063373,10.0,0.0,0.0,0.0
11,11,8.563488733900883,8.971563314384547,10.0,0.0,0.0,0.0
12,12,14.655493338855901,17.187369504811922,10.0,0.0,0.0,0.0
13,13,18.140389515960543,4.695480075658892,10.0,0.0,0.0,0.0
14,14,6.308845196870469,19.02326150475899,10.0,0.0,0.0,0.0
15,15,14.02404047096465,6.994436115431124,10.0,0.0,0.0,0.0
16,16,6.945662124269864,13.203450787801241,10.0,0.0,0.0,0.0
17,17,18.387122373290495,9.08482736652511,10.0,0.0,0.0,0.0
18,18,10.660188317557925,17.290634243841566,10.0,0.0,0.0,0.0
19,19,8.3647597193656,4.1240733067108195,10.0,0.0,0.0,0.0
20,20,15.363490916549106,13.26576849772889,10.0,0.0,0.0,0.0
21,21,7.390554825032456,1.767582853913357,10.0,0.0,0.0,0.0
22,22,4.217593173100469,9.42262999347589,10.0,0.0,0.0,0.0
23,23,10.215341803695164,10.964385329692515,10.0,0.0,0.0,0.0
24,24,2.5066322987792695,6.808692610191038,10.0,0.0,0.0,0.0
25,0,8.11654855095191,2.5620723019250233,10.0,0.0,0.0,0.0
26,1,12.41515821292946,2.1515192084242,10.0,0.0,0.0,0.0
27,2,4.893257656434021,5.911690576473127,10.0,0.0,0.0,0.0
28,3,10.127197309564846,12.813711745898177,10.0,0.0,0.0,0.0
29,4,15.342294492739292,11.967976456751076,10.0,0.0,0.0,0.0
30,5,9.77686250923538,5.8008793264389675,10.0,0.0,0.0,0.0
31,6,7.643287575297661,8.471140297356714,10.0,0.0,0.0,0.0
32,7,12.388712693966255,12.233470515500258,10.0,0.0,0.0,0.0
33,8,13.848097124295112,14.058580002584353,10.0,0.0,0.0,0.0
34,9,9.463689898869388,10.046479397338082,10.0,0.0,0.0,0.0
35,10,13.836080348658404,18.534724895063373,10.0,0.0,0.0,0.0
36,11,8.563488733900883,8.971563314384547,10.0,0.0,0.0,0.0
37,12,14.655493338855901,17.187369504811922,10.0,0.0,0.0,0.0
38,13,18.140389515960543,4.695480075658892,10.0,0.0,0.0,0.0
39,14,6.308845196870469,19.02326150475899,10.0,0.0,0.0,0.0
40,15,14.02404047096465,6.994436115431124,10.0,0.0,0.0,0.0
41,16,6.945662124269864,13.203450787801241,10.0,0.0,0.0,0.0
42,17,18.387122373290495,9.08482736652511,10.0,0.0,0.0,0.0
43,18,10.660188317557925,17.290634243841566,10.0,0.0,0.0,0.0
44,19,8.3647597193656,4.1240733067108195,10.0,0.0,0.0,0.0
45,20,15.363490916549106,13.26576849772889,10.0,0.0,0.0,0.0
46,21,7.390554825032456,1.767582853913357,10.0,0.0,0.0,0.0
47,22,4.217593173100469,9.42262999347589,10.0,0.0,0.0,0.0
48,23,10.215341803695164,10.964385329692515,10.0,0.0,0.0,0.0
49,24,2.5066322987792695,6.808692610191038,10.0,0.0,0.0,0.0
50,0,8.11654855095191,2.5620723019250233,10.0,,,0.1
51,1,12.41515821292946,2.1515192084242,10.0,,,0.1
52,2,4.893257656434021,5.911690576473127,10.0,,,0.1
53,3,10.127197309564846,12.813711745898177,10.0,,,0.1
54,4,15.342294492739292,11.967976456751076,10.0,,,0.1
55,5,9.77686250923538,5.8008793264389675,10.0,,,0.1
56,6,7.643287575297661,8.471140297356714,10.0,,,0.1
57,7,12.388712693966255,12.233470515500258,10.0,,,0.1
58,8,13.848097124295112,14.058580002584353,10.0,,,0.1
59,9,9.463689898869388,10.046479397338082,10.0,,,0.1
60,10,13.836080348658404,18.534724895063373,10.0,,,0.1
61,11,8.563488733900883,8.971563314384547,10.0,,,0.1
62,12,14.655493338855901,17.187369504811922,10.0,,,0.1
63,13,18.140389515960543,4.695480075658892,10.0,,,0.1
64,14,6.308845196870469,19.02326150475899,10.0,,,0.1
65,15,14.02404047096465,6.994436115431124,10.0,,,0.1
66,16,6.945662124269864,13.203450787801241,10.0,,,0.1
67,17,18.387122373290495,9.08482736652511,10.0,,,0.1
68,18,10.660188317557925,17.290634243841566,10.0,,,0.1
69,19,8.3647597193656,4.1240733067108195,10.0,,,0.1
70,20,15.363490916549106,13.26576849772889,10.0,,,0.1
71,21,7.390554825032456,1.767582853913357,10.0,,,0.1
72,22,4.217593173100469,9.42262999347589,10.0,,,0.1
73,23,10.215341803695164,10.964385329692515,10.0,,,0.1
74,24,2.5066322987792695,6.808692610191038,10.0,,,0.1
