id,b_1,b_2,m,v_1,v_2,t
     0.000,     3.928,     0.276,    10.000,     0.000,     0.000,     0.000
     1.000,     6.166,     4.623,    10.000,     0.000,     0.000,     0.000
     2.000,     3.333,     8.133,    10.000,     0.000,     0.000,     0.000
     0.000,     3.928,     0.276,    10.000,     0.000,     0.000,     0.100
     1.000,     6.166,     4.623,    10.000,    -0.000,     0.000,     0.100
     2.000,     3.333,     8.133,    10.000,     0.000,    -0.000,     0.100
     0.000,     3.928,     0.276,    10.000,     0.000,     0.000,     0.200
     1.000,     6.166,     4.623,    10.000,    -0.000,     0.000,     0.200
     2.000,     3.333,     8.133,    10.000,     0.000,    -0.000,     0.200
     0.000,     3.928,     0.276,    10.000,     0.000,     0.000,     0.300
     1.000,     6.166,     4.623,    10.000,    -0.000,     0.000,     0.300
     2.000,     3.333,     8.133,    10.000,     0.000,    -0.000,     0.300
     0.000,     3.928,     0.276,    10.000,     0.000,     0.000,     0.400
     1.000,     6.166,     4.623,    10.000,    -0.001,     0.000,     0.400
     2.000,     3.333,     8.133,    10.000,     0.000,    -0.001,     0.400
     0.000,     3.928,     0.277,    10.000,     0.000,     0.000,     0.500
     1.000,     6.165,     4.623,    10.000,    -0.001,     0.000,     0.500
     2.000,     3.333,     8.133,    10.000,     0.000,    -0.001,     0.500
     0.000,     3.928,     0.277,    10.000,     0.000,     0.000,     0.600
     1.000,     6.165,     4.623,    10.000,    -0.001,     0.000,     0.600
     2.000,     3.333,     8.133,    10.000,     0.001,    -0.001,     0.600
     0.000,     3.928,     0.277,    10.000,     0.000,     0.001,     0.700
     1.000,     6.165,     4.623,    10.000,    -0.001,     0.000,     0.700
     2.000,     3.333,     8.133,    10.000,     0.001,    -0.001,     0.700
     0.000,     3.928,     0.277,    10.000,     0.000,     0.001,     0.800
     1.000,     6.165,     4.623,    10.000,    -0.001,     0.000,     0.800
     2.000,     3.333,     8.133,    10.000,     0.001,    -0.001,     0.800
     0.000,     3.928,     0.277,    10.000,     0.000,     0.001,     0.900
     1.000,     6.165,     4.623,    10.000,    -0.001,     0.000,     0.900
     2.000,     3.333,     8.133,    10.000,     0.001,    -0.001,     0.900
     0.000,     3.928,     0.277,    10.000,     0.000,     0.001,     1.000
     1.000,     6.165,     4.624,    10.000,    -0.001,     0.000,     1.000
     2.000,     3.334,     8.133,    10.000,     0.001,    -0.001,     1.000
     0.000,     3.928,     0.277,    10.000,     0.000,     0.001,     1.100
     1.000,     6.165,     4.624,    10.000,    -0.002,     0.000,     1.100
     2.000,     3.334,     8.132,    10.000,     0.001,    -0.001,     1.100
     0.000,     3.928,     0.277,    10.000,     0.000,     0.001,     1.200
     1.000,     6.165,     4.624,    10.000,    -0.002,     0.001,     1.200
     2.000,     3.334,     8.132,    10.000,     0.001,    -0.002,     1.200
     0.000,     3.928,     0.277,    10.000,     0.001,     0.001,     1.300
     1.000,     6.164,     4.624,    10.000,    -0.002,     0.001,     1.300
     2.000,     3.334,     8.132,    10.000,     0.001,    -0.002,     1.300
     0.000,     3.929,     0.277,    10.000,     0.001,     0.001,     1.400
     1.000,     6.164,     4.624,    10.000,    -0.002,     0.001,     1.400
     2.000,     3.334,     8.132,    10.000,     0.001,    -0.002,     1.400
     0.000,     3.929,     0.277,    10.000,     0.001,     0.001,     1.500
     1.000,     6.164,     4.624,    10.000,    -0.002,     0.001,     1.500
     2.000,     3.334,     8.132,    10.000,     0.001,    -0.002,     1.500
     0.000,     3.929,     0.278,    10.000,     0.001,     0.001,     1.600
     1.000,     6.164,     4.624,    10.000,    -0.002,     0.001,     1.600
     2.000,     3.334,     8.132,    10.000,     0.002,    -0.002,     1.600
     0.000,     3.929,     0.278,    10.000,     0.001,     0.001,     1.700
     1.000,     6.164,     4.624,    10.000,    -0.002,     0.001,     1.700
     2.000,     3.334,     8.131,    10.000,     0.002,    -0.002,     1.700
     0.000,     3.929,     0.278,    10.000,     0.001,     0.001,     1.800
     1.000,     6.163,     4.624,    10.000,    -0.003,     0.001,     1.800
     2.000,     3.335,     8.131,    10.000,     0.002,    -0.002,     1.800
     0.000,     3.929,     0.278,    10.000,     0.001,     0.002,     1.900
     1.000,     6.163,     4.624,    10.000,    -0.003,     0.001,     1.900
     2.000,     3.335,     8.131,    10.000,     0.002,    -0.002,     1.900
     0.000,     3.929,     0.278,    10.000,     0.001,     0.002,     2.000
     1.000,     6.163,     4.624,    10.000,    -0.003,     0.001,     2.000
     2.000,     3.335,     8.131,    10.000,     0.002,    -0.003,     2.000
     0.000,     3.929,     0.278,    10.000,     0.001,     0.002,     2.100
     1.000,     6.162,     4.624,    10.000,    -0.003,     0.001,     2.100
     2.000,     3.335,     8.130,    10.000,     0.002,    -0.003,     2.100
     0.000,     3.929,     0.279,    10.000,     0.001,     0.002,     2.200
     1.000,     6.162,     4.624,    10.000,    -0.003,     0.001,     2.200
     2.000,     3.335,     8.130,    10.000,     0.002,    -0.003,     2.200
     0.000,     3.929,     0.279,    10.000,     0.001,     0.002,     2.300
     1.000,     6.162,     4.624,    10.000,    -0.003,     0.001,     2.300
     2.000,     3.336,     8.130,    10.000,     0.002,    -0.003,     2.300
     0.000,     3.929,     0.279,    10.000,     0.001,     0.002,     2.400
