id,b_1,b_2,m,v_1,v_2,t
     0.000,   410.935,   114.725,    10.000,     0.813,     0.570,     0.010
     1.000,   319.359,   457.784,    10.000,     0.219,     0.024,     0.010
     2.000,   368.369,   423.189,    10.000,     0.596,     0.658,     0.010
     3.000,   430.590,   399.928,    10.000,     0.695,     0.870,     0.010
     4.000,   410.059,   360.385,    10.000,     0.698,     0.231,     0.010
     5.000,   414.318,   520.258,    10.000,     0.482,     0.749,     0.010
     6.000,   388.470,   156.067,    10.000,     0.568,     0.893,     0.010
     7.000,   279.658,   494.870,    10.000,     0.481,     0.290,     0.010
     8.000,   376.587,   313.513,    10.000,     0.109,     0.656,     0.010
     9.000,   469.417,   578.216,    10.000,     0.615,     0.017,     0.010
    10.000,   576.412,   176.473,    10.000,     0.057,     0.889,     0.010
    11.000,   150.975,   290.286,    10.000,     0.692,     0.959,     0.010
    12.000,   373.624,   216.176,    10.000,     0.904,     0.912,     0.010
    13.000,   174.646,   543.283,    10.000,     0.580,     0.391,     0.010
    14.000,   666.645,   647.431,    10.000,     0.553,     0.610,     0.010
    15.000,   313.543,    29.491,    10.000,     0.749,     0.034,     0.010
    16.000,   226.425,   725.370,    10.000,     0.831,     0.483,     0.010
    17.000,   391.877,    83.138,    10.000,     0.998,     0.400,     0.010
    18.000,    72.301,   243.849,    10.000,     0.333,     0.341,     0.010
    19.000,   614.556,   622.862,    10.000,     0.225,     0.545,     0.010
     0.000,   410.943,   114.731,    10.000,     0.813,     0.570,     0.020
     1.000,   319.361,   457.785,    10.000,     0.219,     0.023,     0.020
     2.000,   368.375,   423.196,    10.000,     0.595,     0.658,     0.020
     3.000,   430.597,   399.937,    10.000,     0.694,     0.870,     0.020
     4.000,   410.066,   360.387,    10.000,     0.698,     0.231,     0.020
     5.000,   414.323,   520.266,    10.000,     0.482,     0.748,     0.020
     6.000,   388.476,   156.076,    10.000,     0.568,     0.892,     0.020
     7.000,   279.663,   494.872,    10.000,     0.481,     0.290,     0.020
     8.000,   376.588,   313.520,    10.000,     0.109,     0.656,     0.020
     9.000,   469.423,   578.216,    10.000,     0.614,     0.017,     0.020
    10.000,   576.413,   176.482,    10.000,     0.056,     0.888,     0.020
    11.000,   150.982,   290.295,    10.000,     0.691,     0.959,     0.020
    12.000,   373.633,   216.185,    10.000,     0.903,     0.912,     0.020
    13.000,   174.652,   543.287,    10.000,     0.579,     0.390,     0.020
    14.000,   666.650,   647.438,    10.000,     0.552,     0.610,     0.020
    15.000,   313.550,    29.492,    10.000,     0.748,     0.034,     0.020
    16.000,   226.433,   725.375,    10.000,     0.831,     0.482,     0.020
    17.000,   391.887,    83.142,    10.000,     0.998,     0.400,     0.020
    18.000,    72.305,   243.852,    10.000,     0.333,     0.341,     0.020
    19.000,   614.558,   622.868,    10.000,     0.225,     0.545,     0.020
     0.000,   410.951,   114.736,    10.000,     0.812,     0.570,     0.030
     1.000,   319.363,   457.785,    10.000,     0.219,     0.023,     0.030
     2.000,   368.381,   423.203,    10.000,     0.595,     0.657,     0.030
     3.000,   430.603,   399.946,    10.000,     0.694,     0.869,     0.030
     4.000,   410.073,   360.389,    10.000,     0.698,     0.230,     0.030
     5.000,   414.328,   520.273,    10.000,     0.481,     0.748,     0.030
     6.000,   388.481,   156.085,    10.000,     0.567,     0.892,     0.030
     7.000,   279.668,   494.875,    10.000,     0.481,     0.289,     0.030
     8.000,   376.589,   313.527,    10.000,     0.108,     0.656,     0.030
     9.000,   469.429,   578.217,    10.000,     0.614,     0.016,     0.030
    10.000,   576.414,   176.491,    10.000,     0.056,     0.888,     0.030
    11.000,   150.989,   290.305,    10.000,     0.691,     0.959,     0.030
    12.000,   373.643,   216.194,    10.000,     0.903,     0.912,     0.030
    13.000,   174.658,   543.290,    10.000,     0.579,     0.390,     0.030
    14.000,   666.656,   647.444,    10.000,     0.551,     0.609,     0.030
    15.000,   313.558,    29.492,    10.000,     0.748,     0.034,     0.030
    16.000,   226.441,   725.380,    10.000,     0.830,     0.481,     0.030
    17.000,   391.897,    83.146,    10.000,     0.998,     0.400,     0.030
    18.000,    72.308,   243.856,    10.000,     0.333,     0.341,     0.030
    19.000,   614.560,   622.873,    10.000,     0.224,     0.544,     0.030
     0.000,   410.959,   114.742,    10.000,     0.812,     0.570,     0.040
     1.000,   319.365,   457.785,    10.000,     0.218,     0.023,     0.040
     2.000,   368.387,   423.209,    10.000,     0.595,     0.657,     0.040
     3.000,   430.610,   399.954,    10.000,     0.694,     0.869,     0.040
     4.000,   410.080,   360.391,    10.000,     0.697,     0.230,     0.040
     5.000,   414.332,   520.281,    10.000,     0.481,     0.747,     0.040
     6.000,   388.487,   156.093,    10.000,     0.567,     0.892,     0.040
     7.000,   279.673,   494.878,    10.000,     0.480,     0.289,     0.040
     8.000,   376.590,   313.533,    10.000,     0.108,     0.656,     0.040
     9.000,   469.435,   578.217,    10.000,     0.613,     0.016,     0.040
    10.000,   576.414,   176.500,    10.000,     0.055,     0.888,     0.040
    11.000,   150.996,   290.314,    10.000,     0.691,     0.958,     0.040
    12.000,   373.652,   216.203,    10.000,     0.903,     0.912,     0.040
    13.000,   174.663,   543.294,    10.000,     0.579,     0.389,     0.040
    14.000,   666.662,   647.450,    10.000,     0.551,     0.608,     0.040
    15.000,   313.565,    29.492,    10.000,     0.748,     0.034,     0.040
    16.000,   226.450,   725.385,    10.000,     0.830,     0.480,     0.040
    17.000,   391.907,    83.150,    10.000,     0.997,     0.400,     0.040
    18.000,    72.311,   243.859,    10.000,     0.333,     0.340,     0.040
    19.000,   614.563,   622.879,    10.000,     0.223,     0.543,     0.040
     0.000,   410.967,   114.748,    10.000,     0.811,     0.569,     0.050
     1.000,   319.367,   457.785,    10.000,     0.218,     0.022,     0.050
     2.000,   368.392,   423.216,    10.000,     0.594,     0.657,     0.050
     3.000,   430.617,   399.963,    10.000,     0.693,     0.869,     0.050
     4.000,   410.087,   360.394,    10.000,     0.697,     0.230,     0.050
     5.000,   414.337,   520.288,    10.000,     0.481,     0.747,     0.050
     6.000,   388.493,   156.102,    10.000,     0.566,     0.892,     0.050
