id,b_1,b_2,m,v_1,v_2,t
     0.000,   497.480,   209.167,    10.000,     0.761,     0.074,     0.010
     1.000,   335.306,   451.775,    10.000,     0.436,     0.632,     0.010
     2.000,   594.062,   176.746,    10.000,     0.636,     0.494,     0.010
     3.000,   341.327,   338.943,    10.000,     0.427,     0.424,     0.010
     4.000,   195.021,   236.904,    10.000,     0.320,     0.093,     0.010
     5.000,   213.926,   575.950,    10.000,     0.438,     0.659,     0.010
     6.000,   116.176,   383.487,    10.000,     0.404,     0.046,     0.010
     7.000,   209.694,   130.446,    10.000,     0.649,     0.138,     0.010
     8.000,   669.605,   663.767,    10.000,     0.683,     0.930,     0.010
     9.000,   328.138,   294.644,    10.000,     0.868,     0.039,     0.010
    10.000,   209.313,   544.743,    10.000,     0.307,     0.375,     0.010
    11.000,   463.905,    89.048,    10.000,     0.516,     0.986,     0.010
    12.000,   425.066,   481.949,    10.000,     0.243,     0.866,     0.010
    13.000,   425.903,   416.895,    10.000,     0.886,     0.234,     0.010
    14.000,   417.579,   610.409,    10.000,     0.072,     0.512,     0.010
    15.000,   422.996,   363.073,    10.000,     0.790,     0.991,     0.010
    16.000,    89.141,   257.336,    10.000,     0.087,     0.617,     0.010
    17.000,   346.168,   505.052,    10.000,     0.451,     0.639,     0.010
    18.000,   454.730,   732.987,    10.000,     0.409,     0.113,     0.010
    19.000,   395.546,   702.067,    10.000,     0.236,     0.883,     0.010
     0.000,   497.487,   209.168,    10.000,     0.760,     0.074,     0.020
     1.000,   335.310,   451.782,    10.000,     0.436,     0.632,     0.020
     2.000,   594.068,   176.751,    10.000,     0.635,     0.494,     0.020
     3.000,   341.332,   338.947,    10.000,     0.426,     0.423,     0.020
     4.000,   195.024,   236.905,    10.000,     0.319,     0.093,     0.020
     5.000,   213.930,   575.956,    10.000,     0.438,     0.659,     0.020
     6.000,   116.180,   383.487,    10.000,     0.404,     0.045,     0.020
     7.000,   209.700,   130.448,    10.000,     0.649,     0.138,     0.020
     8.000,   669.612,   663.776,    10.000,     0.682,     0.930,     0.020
     9.000,   328.147,   294.645,    10.000,     0.868,     0.039,     0.020
    10.000,   209.316,   544.747,    10.000,     0.306,     0.374,     0.020
    11.000,   463.910,    89.058,    10.000,     0.516,     0.986,     0.020
    12.000,   425.068,   481.958,    10.000,     0.242,     0.865,     0.020
    13.000,   425.912,   416.898,    10.000,     0.886,     0.233,     0.020
    14.000,   417.580,   610.414,    10.000,     0.071,     0.511,     0.020
    15.000,   423.004,   363.083,    10.000,     0.790,     0.990,     0.020
    16.000,    89.142,   257.342,    10.000,     0.087,     0.616,     0.020
    17.000,   346.173,   505.058,    10.000,     0.450,     0.639,     0.020
    18.000,   454.734,   732.988,    10.000,     0.409,     0.113,     0.020
    19.000,   395.548,   702.076,    10.000,     0.236,     0.883,     0.020
     0.000,   497.495,   209.168,    10.000,     0.760,     0.074,     0.030
     1.000,   335.314,   451.788,    10.000,     0.436,     0.631,     0.030
     2.000,   594.075,   176.756,    10.000,     0.635,     0.494,     0.030
     3.000,   341.336,   338.952,    10.000,     0.426,     0.423,     0.030
     4.000,   195.028,   236.906,    10.000,     0.319,     0.093,     0.030
     5.000,   213.935,   575.963,    10.000,     0.438,     0.658,     0.030
     6.000,   116.184,   383.488,    10.000,     0.404,     0.045,     0.030
     7.000,   209.707,   130.449,    10.000,     0.649,     0.138,     0.030
     8.000,   669.619,   663.785,    10.000,     0.682,     0.929,     0.030
     9.000,   328.156,   294.645,    10.000,     0.868,     0.039,     0.030
    10.000,   209.319,   544.751,    10.000,     0.306,     0.374,     0.030
    11.000,   463.915,    89.068,    10.000,     0.515,     0.986,     0.030
    12.000,   425.070,   481.967,    10.000,     0.242,     0.865,     0.030
    13.000,   425.921,   416.900,    10.000,     0.886,     0.233,     0.030
    14.000,   417.581,   610.419,    10.000,     0.071,     0.511,     0.030
    15.000,   423.012,   363.093,    10.000,     0.790,     0.990,     0.030
    16.000,    89.143,   257.348,    10.000,     0.087,     0.616,     0.030
    17.000,   346.177,   505.065,    10.000,     0.450,     0.638,     0.030
    18.000,   454.738,   732.989,    10.000,     0.408,     0.112,     0.030
    19.000,   395.551,   702.085,    10.000,     0.235,     0.882,     0.030
     0.000,   497.503,   209.169,    10.000,     0.759,     0.074,     0.040
     1.000,   335.319,   451.794,    10.000,     0.435,     0.631,     0.040
     2.000,   594.081,   176.761,    10.000,     0.634,     0.493,     0.040
     3.000,   341.340,   338.956,    10.000,     0.426,     0.422,     0.040
     4.000,   195.031,   236.907,    10.000,     0.319,     0.093,     0.040
     5.000,   213.939,   575.969,    10.000,     0.438,     0.657,     0.040
     6.000,   116.188,   383.488,    10.000,     0.404,     0.044,     0.040
     7.000,   209.713,   130.451,    10.000,     0.649,     0.138,     0.040
     8.000,   669.626,   663.794,    10.000,     0.681,     0.928,     0.040
     9.000,   328.164,   294.645,    10.000,     0.867,     0.039,     0.040
    10.000,   209.322,   544.755,    10.000,     0.306,     0.373,     0.040
    11.000,   463.920,    89.077,    10.000,     0.515,     0.985,     0.040
    12.000,   425.073,   481.975,    10.000,     0.241,     0.864,     0.040
    13.000,   425.929,   416.902,    10.000,     0.885,     0.232,     0.040
    14.000,   417.581,   610.425,    10.000,     0.070,     0.510,     0.040
    15.000,   423.020,   363.103,    10.000,     0.789,     0.990,     0.040
    16.000,    89.144,   257.354,    10.000,     0.087,     0.616,     0.040
    17.000,   346.182,   505.071,    10.000,     0.450,     0.638,     0.040
    18.000,   454.742,   732.990,    10.000,     0.408,     0.111,     0.040
    19.000,   395.553,   702.094,    10.000,     0.235,     0.881,     0.040
     0.000,   497.510,   209.170,    10.000,     0.759,     0.073,     0.050
     1.000,   335.323,   451.800,    10.000,     0.435,     0.630,     0.050
     2.000,   594.088,   176.765,    10.000,     0.633,     0.493,     0.050
     3.000,   341.344,   338.960,    10.000,     0.425,     0.422,     0.050
     4.000,   195.034,   236.908,    10.000,     0.319,     0.092,     0.050
     5.000,   213.943,   575.976,    10.000,     0.437,     0.657,     0.050
     6.000,   116.192,   383.488,    10.000,     0.404,     0.044,     0.050
     7.000,   209.720,   130.452,    10.000,     0.648,     0.137,     0.050
     8.000,   669.632,   663.804,    10.000,     0.680,     0.928,     0.050
     9.000,   328.173,   294.646,    10.000,     0.867,     0.038,     0.050
    10.000,   209.325,   544.758,    10.000,     0.306,     0.373,     0.050
    11.000,   463.925,    89.087,    10.000,     0.514,     0.985,     0.050
