id,b_1,b_2,m,v_1,v_2,t
     0.000,   426.758,   433.672,    10.000,     0.913,     0.410,     0.010
     1.000,   416.118,   475.216,    10.000,     0.697,     0.024,     0.010
     2.000,   372.534,    63.230,    10.000,     0.217,     0.976,     0.010
     3.000,   476.229,   258.064,    10.000,     0.655,     0.851,     0.010
     4.000,   376.785,   313.534,    10.000,     0.413,     0.621,     0.010
     5.000,    12.693,   342.938,    10.000,     0.077,     0.556,     0.010
     6.000,   112.173,   454.458,    10.000,     0.899,     0.229,     0.010
     7.000,   438.594,   385.142,    10.000,     0.412,     0.197,     0.010
     8.000,   603.231,   648.975,    10.000,     0.916,     0.905,     0.010
     9.000,   627.773,   592.228,    10.000,     0.199,     0.649,     0.010
    10.000,   426.079,    13.876,    10.000,     0.040,     0.085,     0.010
    11.000,   139.261,   293.536,    10.000,     0.200,     0.992,     0.010
    12.000,   347.142,   693.464,    10.000,     0.796,     0.432,     0.010
    13.000,   250.332,   499.829,    10.000,     0.904,     0.554,     0.010
    14.000,   291.039,    94.420,    10.000,     0.494,     0.549,     0.010
    15.000,   273.339,   749.542,    10.000,     0.464,     0.136,     0.010
    16.000,   692.752,   194.562,    10.000,     0.028,     0.878,     0.010
    17.000,   254.373,   557.084,    10.000,     0.862,     0.613,     0.010
    18.000,   299.050,   155.715,    10.000,     0.032,     0.133,     0.010
    19.000,   318.336,   532.220,    10.000,     0.615,     0.370,     0.010
     0.000,   426.767,   433.676,    10.000,     0.913,     0.410,     0.020
     1.000,   416.125,   475.216,    10.000,     0.697,     0.023,     0.020
     2.000,   372.536,    63.239,    10.000,     0.217,     0.976,     0.020
     3.000,   476.236,   258.073,    10.000,     0.655,     0.850,     0.020
     4.000,   376.790,   313.540,    10.000,     0.412,     0.621,     0.020
     5.000,    12.694,   342.944,    10.000,     0.077,     0.556,     0.020
     6.000,   112.182,   454.461,    10.000,     0.899,     0.229,     0.020
     7.000,   438.598,   385.144,    10.000,     0.411,     0.197,     0.020
     8.000,   603.240,   648.984,    10.000,     0.916,     0.904,     0.020
     9.000,   627.775,   592.235,    10.000,     0.198,     0.649,     0.020
    10.000,   426.080,    13.877,    10.000,     0.040,     0.085,     0.020
    11.000,   139.263,   293.546,    10.000,     0.200,     0.992,     0.020
    12.000,   347.150,   693.469,    10.000,     0.796,     0.431,     0.020
    13.000,   250.341,   499.835,    10.000,     0.904,     0.554,     0.020
    14.000,   291.044,    94.426,    10.000,     0.493,     0.549,     0.020
    15.000,   273.344,   749.543,    10.000,     0.463,     0.136,     0.020
    16.000,   692.752,   194.571,    10.000,     0.027,     0.878,     0.020
    17.000,   254.382,   557.090,    10.000,     0.862,     0.613,     0.020
    18.000,   299.051,   155.716,    10.000,     0.031,     0.133,     0.020
    19.000,   318.342,   532.223,    10.000,     0.615,     0.370,     0.020
     0.000,   426.776,   433.680,    10.000,     0.912,     0.410,     0.030
     1.000,   416.132,   475.216,    10.000,     0.696,     0.023,     0.030
     2.000,   372.538,    63.249,    10.000,     0.216,     0.976,     0.030
     3.000,   476.243,   258.081,    10.000,     0.654,     0.850,     0.030
     4.000,   376.794,   313.546,    10.000,     0.412,     0.620,     0.030
     5.000,    12.695,   342.949,    10.000,     0.077,     0.556,     0.030
     6.000,   112.191,   454.463,    10.000,     0.899,     0.228,     0.030
     7.000,   438.602,   385.145,    10.000,     0.411,     0.196,     0.030
     8.000,   603.249,   648.993,    10.000,     0.915,     0.904,     0.030
     9.000,   627.777,   592.241,    10.000,     0.198,     0.648,     0.030
    10.000,   426.080,    13.878,    10.000,     0.040,     0.085,     0.030
    11.000,   139.265,   293.556,    10.000,     0.199,     0.992,     0.030
    12.000,   347.158,   693.473,    10.000,     0.796,     0.430,     0.030
    13.000,   250.350,   499.840,    10.000,     0.903,     0.553,     0.030
    14.000,   291.049,    94.431,    10.000,     0.493,     0.549,     0.030
    15.000,   273.349,   749.544,    10.000,     0.463,     0.135,     0.030
    16.000,   692.752,   194.580,    10.000,     0.027,     0.878,     0.030
    17.000,   254.390,   557.096,    10.000,     0.861,     0.612,     0.030
    18.000,   299.051,   155.717,    10.000,     0.031,     0.133,     0.030
    19.000,   318.348,   532.227,    10.000,     0.614,     0.369,     0.030
     0.000,   426.785,   433.684,    10.000,     0.912,     0.409,     0.040
     1.000,   416.139,   475.216,    10.000,     0.696,     0.022,     0.040
     2.000,   372.541,    63.259,    10.000,     0.216,     0.976,     0.040
     3.000,   476.249,   258.090,    10.000,     0.654,     0.850,     0.040
     4.000,   376.798,   313.552,    10.000,     0.411,     0.620,     0.040
     5.000,    12.695,   342.955,    10.000,     0.077,     0.555,     0.040
     6.000,   112.200,   454.465,    10.000,     0.899,     0.228,     0.040
     7.000,   438.607,   385.147,    10.000,     0.410,     0.196,     0.040
     8.000,   603.258,   649.002,    10.000,     0.914,     0.903,     0.040
     9.000,   627.779,   592.248,    10.000,     0.197,     0.648,     0.040
    10.000,   426.081,    13.879,    10.000,     0.039,     0.085,     0.040
    11.000,   139.267,   293.566,    10.000,     0.199,     0.991,     0.040
    12.000,   347.166,   693.477,    10.000,     0.795,     0.430,     0.040
    13.000,   250.359,   499.846,    10.000,     0.903,     0.553,     0.040
    14.000,   291.054,    94.437,    10.000,     0.493,     0.548,     0.040
    15.000,   273.353,   749.546,    10.000,     0.463,     0.134,     0.040
    16.000,   692.752,   194.589,    10.000,     0.026,     0.877,     0.040
    17.000,   254.399,   557.103,    10.000,     0.861,     0.612,     0.040
    18.000,   299.051,   155.719,    10.000,     0.031,     0.133,     0.040
    19.000,   318.354,   532.231,    10.000,     0.614,     0.369,     0.040
     0.000,   426.794,   433.688,    10.000,     0.911,     0.409,     0.050
     1.000,   416.146,   475.217,    10.000,     0.696,     0.022,     0.050
     2.000,   372.543,    63.269,    10.000,     0.215,     0.976,     0.050
     3.000,   476.256,   258.098,    10.000,     0.653,     0.850,     0.050
     4.000,   376.802,   313.559,    10.000,     0.411,     0.620,     0.050
     5.000,    12.696,   342.960,    10.000,     0.077,     0.555,     0.050
     6.000,   112.209,   454.468,    10.000,     0.899,     0.227,     0.050
     7.000,   438.611,   385.149,    10.000,     0.410,     0.196,     0.050
     8.000,   603.267,   649.011,    10.000,     0.914,     0.902,     0.050
     9.000,   627.781,   592.254,    10.000,     0.196,     0.647,     0.050
    10.000,   426.081,    13.879,    10.000,     0.039,     0.085,     0.050
    11.000,   139.269,   293.576,    10.000,     0.199,     0.991,     0.050
    12.000,   347.174,   693.482,    10.000,     0.795,     0.429,     0.050
    13.000,   250.368,   499.851,    10.000,     0.903,     0.552,     0.050
    14.000,   291.059,    94.442,    10.000,     0.492,     0.548,     0.050
    15.000,   273.358,   749.547,    10.000,     0.463,     0.133,     0.050
    16.000,   692.753,   194.597,    10.000,     0.025,     0.877,     0.050
    17.000,   254.408,   557.109,    10.000,     0.861,     0.611,     0.050
    18.000,   299.052,   155.720,    10.000,     0.030,     0.133,     0.050
    19.000,   318.361,   532.234,    10.000,     0.614,     0.368,     0.050
     0.000,   426.803,   433.692,    10.000,     0.911,     0.408,     0.060
     1.000,   416.153,   475.217,    10.000,     0.695,     0.021,     0.060
     2.000,   372.545,    63.278,    10.000,     0.215,     0.976,     0.060
     3.000,   476.262,   258.107,    10.000,     0.653,     0.849,     0.060
     4.000,   376.806,   313.565,    10.000,     0.411,     0.619,     0.060
     5.000,    12.697,   342.966,    10.000,     0.077,     0.555,     0.060
     6.000,   112.218,   454.470,    10.000,     0.899,     0.227,     0.060
     7.000,   438.615,   385.151,    10.000,     0.410,     0.195,     0.060
     8.000,   603.276,   649.021,    10.000,     0.913,     0.902,     0.060
     9.000,   627.783,   592.260,    10.000,     0.196,     0.646,     0.060
    10.000,   426.081,    13.880,    10.000,     0.038,     0.085,     0.060
    11.000,   139.271,   293.586,    10.000,     0.199,     0.991,     0.060
    12.000,   347.181,   693.486,    10.000,     0.795,     0.428,     0.060
    13.000,   250.377,   499.857,    10.000,     0.902,     0.552,     0.060
    14.000,   291.064,    94.447,    10.000,     0.492,     0.548,     0.060
    15.000,   273.363,   749.548,    10.000,     0.462,     0.133,     0.060
    16.000,   692.753,   194.606,    10.000,     0.025,     0.877,     0.060
    17.000,   254.416,   557.115,    10.000,     0.861,     0.611,     0.060
    18.000,   299.052,   155.721,    10.000,     0.030,     0.133,     0.060
    19.000,   318.367,   532.238,    10.000,     0.613,     0.368,     0.060
     0.000,   426.812,   433.696,    10.000,     0.910,     0.408,     0.070
     1.000,   416.160,   475.217,    10.000,     0.695,     0.021,     0.070
     2.000,   372.547,    63.288,    10.000,     0.215,     0.976,     0.070
     3.000,   476.269,   258.115,    10.000,     0.653,     0.849,     0.070
     4.000,   376.810,   313.571,    10.000,     0.410,     0.619,     0.070
     5.000,    12.698,   342.971,    10.000,     0.077,     0.554,     0.070
